# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7390
#@/user_id	161cd1e2-ea2e-4a71-9961-66087a8541a4
a 	啊	c=47 d=3.2835 t=7198
ai 	唉	c=16 d=2.50725 t=1895
ai 	愛	c=2 d=1 t=6865
an 	俺	c=2 d=1.00003 t=5675
an 	按	c=8 d=1.86347 t=7081
an an jing jing 	安安靜靜	c=1 d=1 t=641
an cuo 	按錯	c=1 d=1 t=5431
an fang 	安放	c=1 d=1 t=438
an le 	按了	c=1 d=1 t=7034
an li 	安利	c=2 d=1.82696 t=2610
an li 	案例	c=1 d=1 t=3078
an niu 	按鈕	c=1 d=1 t=3619
an xia 	按下	c=1 d=1 t=7115
ao ba ma 	奧巴馬	c=1 d=1 t=3876
ao di 	奧迪	c=1 d=1 t=2637
ba 	吧	c=21 d=2.73681 t=6456
ba 	把	c=23 d=2.73674 t=7349
ba 	爸	c=1 d=1 t=3904
ba men 	扒門	c=1 d=1 t=1856
ba wo 	把我	c=1 d=1 t=2045
ba zi 	把字	c=1 d=1 t=2134
bai 	拜	c=1 d=1 t=7233
bai bai 	拜拜	c=1 d=1 t=7172
bai di 	白帝	c=1 d=1 t=4038
bai shi 	百事	c=0 d=0.1 t=1401
bai tian 	白天	c=1 d=1 t=936
ban 	半	c=1 d=1 t=3859
ban 	板	c=0 d=0.1 t=2211
ban 	辦	c=0 d=0.1 t=2879
ban ben 	版本	c=1 d=1 t=6026
ban ge 	半個	c=1 d=1 t=594
ban mian 	拌麪	c=1 d=1 t=1489
ban xiao shi 	半小時	c=1 d=1 t=1448
bang 	幫	c=1 d=1 t=3988
bang 	棒	c=1 d=1 t=3989
bang 	邦	c=1 d=1 t=1485
bang ding 	綁定	c=2 d=1.96561 t=4291
bang ni 	幫你	c=1 d=1 t=6783
bang ta 	幫它	c=1 d=1 t=2304
bang wo 	幫我	c=5 d=1 t=7264
bao 	包	c=2 d=1 t=6787
bao 	飽	c=0 d=0.1 t=1558
bao bao 	抱抱	c=1 d=1 t=1405
bao bei 	寶貝	c=1 d=1 t=4774
bao cuo 	報錯	c=2 d=1.0005 t=6094
bao feng xue 	暴風雪	c=2 d=1.0076 t=3422
bao kuo 	包括	c=1 d=1 t=6827
bao li 	包裏	c=1 d=1 t=3221
bao lu 	暴露	c=1 d=1 t=7311
bao xian 	保險	c=3 d=1.97543 t=2960
bao xiao 	爆笑	c=1 d=1 t=3088
bao zha 	爆炸	c=1 d=1 t=7048
bei 	被	c=3 d=1.00003 t=4408
bei fang 	北方	c=1 d=1 t=4948
bei jing 	背景	c=1 d=1 t=2514
bei le 	背了	c=1 d=1 t=1115
bei mei 	北美	c=1 d=1 t=5011
bei pan zhe 	背叛者	c=1 d=1 t=1430
bei shu 	倍數	c=1 d=1 t=1525
bei song 	背誦	c=1 d=1 t=3829
bei zhu 	備註	c=2 d=1.00133 t=4109
ben lai 	本來	c=3 d=1.00549 t=6341
ben neng 	本能	c=1 d=1 t=1618
ben pao 	奔跑	c=1 d=1 t=5165
ben xue qi 	本學期	c=1 d=1 t=3466
ben yi 	本意	c=1 d=1 t=2311
beng 	嘣	c=1 d=1 t=1167
beng kui 	崩潰	c=1 d=1 t=1761
beng xiang tui 	崩想退	c=1 d=1 t=1165
bi 	幣	c=0 d=0.1 t=1627
bi 	比	c=9 d=1.0603 t=6258
bi 	筆	c=1 d=1 t=7181
bi jia 	幣價	c=1 d=1 t=6972
bi jiao 	比較	c=7 d=1.827 t=6878
bi li 	比例	c=1 d=1 t=882
bi ru 	比如	c=8 d=1.29875 t=7157
bi ru shuo 	比如說	c=2 d=1.00042 t=3480
bi te 	比特	c=0 d=0.100571 t=1627
bi te bi 	比特幣	c=6 d=1.00037 t=6800
bi te bi 	比特比	c=2 d=1.00574 t=1627
bi wo 	比我	c=2 d=1.97531 t=701
bi xu 	必須	c=4 d=1.29477 t=5362
bi yao 	必要	c=2 d=1 t=6506
bi ye 	畢業	c=1 d=1 t=6546
bi zi 	鼻子	c=1 d=1 t=1472
bian cheng 	編程	c=1 d=1 t=4877
bian cheng 	變成	c=1 d=1 t=4619
bian huai 	變壞	c=1 d=1 t=890
bian ji 	編輯	c=1 d=1 t=3699
bian ji qi 	編輯器	c=2 d=1.52466 t=3819
bian li 	遍歷	c=3 d=2.98012 t=4061
bian ren 	辨認	c=1 d=1 t=3641
bian shi 	辨識	c=0 d=0.1 t=2461
bian shi du 	辨識度	c=1 d=1 t=2462
bian zao 	變造	c=0 d=0.1 t=3076
bian zao huo bi 	變造貨幣	c=1 d=1 t=3077
biao dian 	標點	c=1 d=1 t=1516
biao ge 	表格	c=1 d=1 t=5186
biao ming 	表明	c=1 d=1 t=2290
biao qing 	表情	c=1 d=1 t=6858
biao shi 	表示	c=4 d=1.86071 t=3514
biao ti 	標題	c=1 d=1 t=3599
bie 	別	c=2 d=1 t=5407
bie de 	別的	c=2 d=1.01448 t=4652
bie ji 	別急	c=1 d=1 t=322
bie pao 	別跑	c=1 d=1 t=3296
bie ren 	別人	c=1 d=1 t=7214
bie wan 	別玩	c=1 d=1 t=491
bing 	病	c=2 d=1.00001 t=3336
bing gan 	餅乾	c=2 d=1.96561 t=1315
bing qie 	並且	c=1 d=1 t=185
bo he 	薄荷	c=0 d=0.1 t=877
bo wu guan 	博物館	c=3 d=1.8311 t=6869
bo zi 	脖子	c=1 d=1 t=5843
bu 	不	c=45 d=2.00094 t=7155
bu an quan 	不安全	c=1 d=1 t=2216
bu bao han 	不包含	c=1 d=1 t=5976
bu cuo 	不錯	c=1 d=1 t=4086
bu dai 	不帶	c=2 d=1.18825 t=6131
bu dao 	不到	c=2 d=1.01477 t=7283
bu dian 	不點	c=1 d=1 t=4746
bu dong 	不懂	c=2 d=0.170299 t=4756
bu dui jin 	不對勁	c=1 d=1 t=439
bu fen 	部分	c=1 d=1 t=4199
bu gao 	不高	c=1 d=1 t=2814
bu guan 	不關	c=0 d=0.1 t=2345
bu guan wo shi 	不關我事	c=1 d=1 t=2346
bu gui 	不貴	c=1 d=1 t=6501
bu guo 	不過	c=5 d=1.86551 t=7020
bu hao 	不好	c=3 d=1.00001 t=5939
bu hao chi 	不好吃	c=2 d=1.00391 t=4755
bu hao yi si 	不好意思	c=2 d=1.7788 t=862
bu he li 	不合理	c=1 d=1 t=4949
bu hua qian 	不花錢	c=1 d=1 t=406
bu hui 	不回	c=0 d=0.1 t=818
bu hui 	不會	c=8 d=1.01442 t=7358
bu hui dian hua 	不回電話	c=1 d=1 t=819
bu hui shan 	不會刪	c=1 d=1 t=2138
bu ji de 	不記得	c=1 d=1 t=2552
bu jian de 	不見得	c=1 d=1 t=4893
bu jie yi 	不介意	c=1 d=1 t=1873
bu jin qu 	不進去	c=0 d=0.1 t=3542
bu jiu 	不久	c=1 d=1 t=7145
bu kao ping 	不考評	c=1 d=1 t=6015
bu ke neng 	不可能	c=1 d=1 t=7062
bu keng 	不吭	c=1 d=1 t=1773
bu liao jie 	不瞭解	c=1 d=1 t=1232
bu liu xing 	不流行	c=1 d=1 t=3527
bu man zu 	不滿足	c=1 d=1 t=7165
bu mang 	不忙	c=1 d=1 t=1453
bu neng 	不能	c=4 d=1.00004 t=6487
bu pi pei 	不匹配	c=1 d=1 t=7197
bu qing chu 	不清楚	c=0 d=0.1 t=5136
bu ran 	不然	c=8 d=1.02606 t=7046
bu rang 	不讓	c=1 d=1 t=2247
bu ru 	不如	c=2 d=1 t=5720
bu shang 	不上	c=1 d=1 t=3451
bu shang ke 	不上課	c=1 d=1 t=5288
bu shao 	不少	c=2 d=1.0001 t=7019
bu sheng xiao 	不生效	c=2 d=1.21871 t=7372
bu shi 	不是	c=21 d=1.30805 t=7150
bu shu 	不輸	c=1 d=1 t=2405
bu shu 	部署	c=1 d=1 t=7353
bu shu fu 	不舒服	c=2 d=1.00002 t=3540
bu shuang 	不爽	c=2 d=1.26054 t=1594
bu ta shi 	不踏實	c=1 d=1 t=1709
bu tai 	不太	c=0 d=0.100128 t=6039
bu tai dui 	不太對	c=1 d=1 t=3395
bu tai gao ming 	不太高明	c=1 d=1 t=4691
bu tai xi huan 	不太喜歡	c=1 d=1 t=4210
bu tai zheng chang 	不太正常	c=1 d=1 t=6040
bu tong 	不同	c=4 d=1.09562 t=2803
bu tui 	不退	c=1 d=1 t=1146
